date,temp_c,rain,humidity_pct,wind_kmh,holiday,promotion,rentals
2021-01-01,7.215414512734101,0,68.1850608687241,1.0,1,0,940
2021-01-02,4.501550635270193,0,68.11454395571756,5.886971176766224,0,0,1241
2021-01-03,-0.5913996466468774,0,66.64704570392803,1.481787267901564,0,0,1108
2021-01-04,1.225913370269597,0,60.34205401710278,10.465665000584773,0,1,1273
2021-01-05,6.980613144200756,0,65.73176387466717,3.457931017384075,0,0,1342
2021-01-06,6.020232277806622,0,60.74916766940167,1.749528736456413,0,0,1151
2021-01-07,1.9077267379639382,0,64.83575841084765,8.665586857089458,0,0,984
2021-01-08,4.271328859665695,0,59.91466415004079,11.534128695565595,0,0,1175
2021-01-09,3.5541144093180073,0,65.80379399025931,10.4615783434243,0,0,965
2021-01-10,-0.4511617794640035,0,72.80373032725761,20.70947050788297,0,0,677
2021-01-11,1.4733912970272849,0,67.77984833597212,15.444665325048451,0,0,1259
2021-01-12,0.10655783060403445,0,70.16023025828954,18.69499559967444,0,0,987
2021-01-13,1.6863353558054524,0,67.07365732366122,2.489738095101662,0,0,1020
2021-01-14,3.279984752568019,1,89.83522125535542,18.940363861512367,0,0,518
2021-01-15,1.269369221995684,0,60.996179262778924,10.430398151490364,0,0,1077
2021-01-16,-0.28795613916205465,0,63.9852825059056,5.941385382934296,0,0,854
2021-01-17,-1.3189282792328116,0,74.29617940626002,11.858796791612733,0,0,581
2021-01-18,2.86637808537099,0,66.6532552444852,4.203371164724274,0,0,1115
2021-01-19,3.64791847159732,0,71.34979900656936,13.619768645325623,0,0,1272
2021-01-20,7.669263461979524,1,77.16098912071536,13.493401965005905,0,0,465
2021-01-21,15.225988492424754,0,56.3917192147901,4.970238390865351,0,0,1746
2021-01-22,14.547761278716138,0,68.85806427564046,9.718720201549523,0,0,1436
2021-01-23,11.363746247245183,0,69.43924445797211,15.161260590845954,0,0,1374
2021-01-24,8.298105275223696,1,81.9698428183558,14.35242669917578,0,0,361
2021-01-25,7.773568355353471,0,54.45545738560597,15.901599982695558,0,0,1349
2021-01-26,0.9713227961822568,0,71.49192853682828,26.863413945917525,0,0,1035
2021-01-27,0.9301398737986681,1,88.22682091665075,3.543907385423527,0,0,666
2021-01-28,-0.9203263566493174,0,71.99612946473236,14.071405659564345,0,0,1134
2021-01-29,4.17829854616414,1,85.06675395951746,8.436411200541698,0,0,549
2021-01-30,7.361223136916074,1,95.0137220995767,11.94838124528092,0,0,949
2021-01-31,4.00490463910317,0,54.187671885739114,8.117830176094719,0,0,1243
2021-02-01,4.019520033302133,0,61.07796643343981,8.986324368487844,0,0,1406
2021-02-02,4.564718732718381,0,64.67155259315255,1.873032059475706,0,0,1472
2021-02-03,4.972389165516354,0,67.54600898655852,9.001994607883235,0,0,1431
2021-02-04,8.599603827702023,0,60.387547095007164,8.560809193875759,0,0,1330
2021-02-05,9.58492370776516,0,67.50669364246473,12.207126517881878,0,0,1334
2021-02-06,3.0038912812694094,0,61.987552919511266,12.671826016829154,0,0,984
2021-02-07,-0.7475076811736336,1,85.31224598424075,10.839874150424428,0,0,207
2021-02-08,2.0380079774166506,0,62.29370562733202,7.295119587674803,0,0,902
2021-02-09,-1.880295443160307,1,80.68259502470266,7.324795248844914,0,0,469
2021-02-10,4.70063496709275,1,77.08996794037282,7.0370621026848434,0,0,433
2021-02-11,2.2067280175718293,0,62.0991391923549,13.707681498963108,0,0,977
2021-02-12,5.646091336488534,0,61.02866283280194,10.38137464816808,0,0,1348
2021-02-13,5.188468478699544,0,58.75236357166852,5.086871772615256,0,0,1038
2021-02-14,10.839415273019764,1,91.81495196937078,15.818881921052835,0,0,574
2021-02-15,5.584913006519291,0,66.37827277734118,4.631671022736673,0,0,1184
2021-02-16,-1.1439696173080183,0,64.10176629928029,14.751200449723436,0,0,722
2021-02-17,-0.6394095255243402,0,72.92010982567396,9.446836660159953,0,0,881
2021-02-18,3.6882145671210473,0,69.48063774811494,15.533746345529163,0,1,1121
2021-02-19,3.7894446292674693,0,73.4836379311052,12.18205136728552,0,0,1016
2021-02-20,0.6613280554269556,1,88.90848985833156,21.23512011925347,0,0,80
2021-02-21,5.319788912479611,1,79.34845725953139,14.522494933673386,0,1,794
2021-02-22,7.256757524565066,0,67.28162686123665,9.92625729852049,0,0,1178
2021-02-23,7.212286955944401,0,64.58546621131028,6.326448094929418,0,0,1084
2021-02-24,4.67456835400324,0,59.568951656224215,4.443206986732452,0,1,1458
2021-02-25,11.20139059338683,0,61.25494565163274,8.573054717365398,0,0,1491
2021-02-26,8.637523141408732,0,60.95417201145404,1.0,0,0,1131
2021-02-27,9.078766073662235,0,58.197692630113856,10.25655838372556,0,0,1015
2021-02-28,12.089886824550534,0,55.82665601498528,3.3820247194224025,0,0,1361
2021-03-01,13.194987835637704,0,74.6150118446667,2.188485530113619,0,1,1860
2021-03-02,16.098237403975318,1,72.63095446186428,7.1884821001018855,0,0,1177
2021-03-03,10.026612140442726,0,75.85763517206385,5.733137290497959,0,0,1069
2021-03-04,14.717746216294534,0,56.77227803533525,7.3651635657287535,0,0,1320
2021-03-05,11.984711638369342,0,67.1907793014513,1.9729850956798165,0,1,1604
2021-03-06,10.330224242971953,0,63.293941117722106,6.102447342484394,0,0,1455
